Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT679170.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679171.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679172.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679173.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679174.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679175.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679176.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679177.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679178.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679179.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29894,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679180.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679181.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29888,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679182.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679183.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679184.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679185.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679186.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29879,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679187.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679188.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679189.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679190.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679191.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679192.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.442,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679193.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679194.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679195.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679196.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.9.2,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679198.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-17
MT679201.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29874,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-23
MT679202.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29776,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-24
MT679205.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-25
MT679206.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-03-24
MT679208.1,"Roder,A., Banakis,S., Johnson,K., Khalfan,M., Borenstein,E.S., Samanovic,M., Cornelius,A., Herati,R., Ulrich,R., Fleming,A., Kottkamp,A., Raabe,V., Mulligan,M.J., Gresham,D., Ghedin,E.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,complete,USA: NY,NY,Homo sapiens,oronasopharynx,2020-04-08
MT680217.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680218.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29859,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680219.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29893,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680220.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29880,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680221.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680222.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680223.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680224.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680225.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680226.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680227.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680228.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.9.2,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680229.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680230.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680231.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680232.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680233.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29878,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680234.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29836,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680235.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680236.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680237.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29893,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680238.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680239.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29876,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680240.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680241.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29875,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT680242.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: Virginia,VA,Homo sapiens,,2020-04
MT675289.1,"DeRonde,S., Deuling,H., Chen,J.",2020-06-29T00:00:00Z,B.30,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29855,complete,USA: Ak,AK,Homo sapiens,,2020-03-23
MT675517.1,"DeRonde,S., Deuling,H., Chen,J.",2020-06-29T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,complete,USA: Ak,AK,Homo sapiens,,2020-03-23
MT670008.1,"Lednicky,J.A., Lauzardo,M., Fan,Z.H., Jutla,A., Tilly,T.B., Gangwar,M., Usmani,M., Shankar,S.N., Mohamed,K., Eiguren-Fernandez,A., Stephenson,C.J., Alam,M.M., Elbadry,M.A., Loeb,J.C., Subramaniam,K., Waltzek,T.B., Cherabuddi,K., Morris,J.G. Jr., Wu,C.Y., Wu,C.-Y., Morris,J.G.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29894,complete,USA,,,,2020-04-13
MT671810.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CA,CA,Homo sapiens,,2020-03-25
MT671811.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29836,complete,USA: CA,CA,Homo sapiens,,2020-03-23
MT671812.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,complete,USA: CA,CA,Homo sapiens,,2020-03-20
MT671813.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,complete,USA: CA,CA,Homo sapiens,,2020-03-19
MT671814.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CA,CA,Homo sapiens,,2020-03-19
MT671815.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1.177,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: CA,CA,Homo sapiens,,2020-03-14
MT671816.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CA,CA,Homo sapiens,,2020-03-16
MT671817.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: CA,CA,Homo sapiens,,2020-03-15
MT671818.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,complete,USA: CA,CA,Homo sapiens,,2020-03-14
MT671819.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT671820.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,A.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT671821.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: CA,CA,Homo sapiens,,2020-03-13
MT671822.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CA,CA,Homo sapiens,,2020-03-11
MT671823.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: CA,CA,Homo sapiens,,2020-03-27
MT671824.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,complete,USA: CA,CA,Homo sapiens,,2020-03-23
MT671825.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29898,complete,USA: CA,CA,Homo sapiens,,2020-03-14
MT671826.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29831,complete,USA: CA,CA,Homo sapiens,,2020-04-02
MT671827.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: CA,CA,Homo sapiens,,2020-04-02
MT671828.1,"Pinsky,B., Walter,K., Parikh,V.N., Gorzynski,J., DeJong,H.N., Wheeler,M.T., Andrews,J., Rivas,M., Bustamante,C., Ashley,E., Consortium,C.C.",2020-06-26T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,complete,USA: CA,CA,Homo sapiens,,2020-04-01
MT668716.1,"Lednicky,J.A., Lauzardo,M., Fan,Z.H., Jutla,A., Tilly,T.B., Gangwar,M., Usmani,M., Shankar,S.N., Mohamed,K., Eiguren-Fernandez,A., Stephenson,C.J., Alam,M.M., Elbadry,M.A., Loeb,J.C., Subramaniam,K., Waltzek,T.B., Cherabuddi,K., Morris,J.G. Jr., Wu,C.Y., Morris,J.G.",2020-06-25T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA,,Homo sapiens,oronasopharynx,2020-04-13
MT653094.1,"Butz,H.A., Young,E.L., Oakeson,K.",2020-06-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29891,complete,USA,,Homo sapiens,,2020-05-11
MT653097.1,"Butz,H.A., Young,E.L., Oakeson,K.",2020-06-23T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29882,complete,USA,,Homo sapiens,,2020-05-11
MT653099.1,"Butz,H.A., Young,E.L., Oakeson,K.",2020-06-23T00:00:00Z,B.1.426,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA,,Homo sapiens,,2020-05-12
MT646053.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,A.3,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-14
MT646054.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.1.104,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-24
MT646064.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-17
MT646065.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.1.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-15
MT646068.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-19
MT646069.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.1.1.33,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: DC,DC,Homo sapiens,oronasopharynx,2020-03-07
MT646070.1,"Thielen,P.M., Mehoke,T., Wohl,S., Ramakrishnan,S., Kirsche,M., Ernlund,A., Howser,C., Zudock,K., Falade-Nwulia,O., Sadowski,N., Morris,P., Hopkins,M., Fan,Y., Gniazdowski,V., Schatz,M.C., Ray,S.C., Timp,W., Mostafa,H.H.",2020-06-22T00:00:00Z,B.40,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: Maryland,MD,Homo sapiens,oronasopharynx,2020-03-20
